stage,stiffness_n_per_m32,dissipation_s_per_m,duration_s,duration_residual_s,trace_rmse,objective,passive
grid,668343917.5686135,0.0,0.00033381647850951995,-0.00066618352149048,0.6905300848707637,27.337870944489964,True
grid,707945784.3841373,0.0,0.00032621787001210864,-0.0006737821299878914,0.6921002288615927,27.643385428377243,True
grid,749894209.3324559,0.0,0.00031879222653243905,-0.0006812077734675609,0.6941666098871808,27.942477548589615,True
grid,794328234.7242821,0.0,0.0003115356109086234,-0.0006884643890913767,0.696767437246515,28.23534300090158,True
grid,841395141.6451964,0.0,0.00030444417558444744,-0.0006955558244155526,0.6999450238993205,28.52217800052142,True
grid,891250938.1337441,0.0,0.00029751416060290784,-0.0007024858393970922,0.702529593458361,28.80196316934205,True
grid,944060876.2859226,0.0,0.0002907418915763775,-0.0007092581084236224,0.703385018003985,29.073709354948882,True
grid,1000000000.0,0.0,0.0002841237777320529,-0.0007158762222679472,0.704588471130723,29.33963736184861,True
refined,43029920.28076117,0.0,0.0010000000000000002,2.168404344971009e-19,0.08149640214859985,0.08149640214860852,True
grid,100000.0,0.025,0.01136899476450782,0.010368994764507821,0.43862138343777285,415.1984119637506,True
grid,105925.37251772897,0.025,0.011110204587811609,0.01011020458781161,0.43858107435309435,404.8467645868174,True
grid,112201.84543019629,0.025,0.010857305194714282,0.009857305194714283,0.43853838128226347,394.7307461698536,True
grid,118850.22274370189,0.025,0.010610162494610102,0.009610162494610101,0.4384931635244229,384.84499294792846,True
grid,125892.54117941661,0.025,0.010368645449168105,0.009368645449168104,0.4384452721123497,375.1842632388365,True
grid,133352.1432163324,0.025,0.010132626002853898,0.009132626002853899,0.43839454933173594,365.7434346634877,True
grid,141253.75446227554,0.025,0.00990197901503306,0.008901979015033059,0.4383408282131789,356.5175014295355,True
grid,149623.5656094433,0.025,0.009676582193619696,0.008676582193619695,0.4382839319954368,347.5015716767832,True
grid,158489.3192461114,0.025,0.009456316030235484,0.008456316030235483,0.4382236735584322,338.6908648829777,True
grid,167880.4018122559,0.025,0.00924106373684513,0.00824106373684513,0.4381598548244119,330.08070932862955,True
grid,177827.94100389228,0.025,0.009030711183833438,0.008030711183833437,0.43809226612564117,321.6665396194631,True
grid,188364.9089489802,0.025,0.008825146839492488,0.007825146839492488,0.438020685536912,313.4438942652364,True
grid,199526.2314968879,0.025,0.008624261710885896,0.007624261710885896,0.4379448781711129,305.40841331360696,True
grid,211348.90398366476,0.025,0.00842794928605945,0.007427949286059449,0.43786459543603157,297.555836037814,True
